1971,-192.9113277623027
1972,-292.23406193078324
1973,-137.4629100468625
1974,-204.89086757990867
1975,-157.70182648401826
1976,-271.73964025500914
1977,-225.92625570776255
1978,-212.5974885844749
1979,-220.70502283105023
1980,-233.87932604735883
1981,-88.47134703196348
1982,-154.73801369863014
1983,-17.629349470499243
1984,-191.67998633879782
1985,-193.49167290958334
1986,-156.78972602739725
1987,-196.33961187214612
1988,-111.78995901639344
1989,-2.7734018264840183
1990,-2.9562785388127852
1991,-141.96906392694063
1992,-71.40676229508196
1993,-164.6025114155251
1994,-146.10913242009133
1995,-97.02602739726028
1996,-323.3030510018215
1997,-153.72716894977168
1998,-112.63698630136986
1999,195.4337899543379
2000,-123.29261072526472
2001,-173.5246575342466
2002,-203.9849315068493
2003,-214.14189497716896
2004,-131.9285063752277
2005,-151.97716894977168
2006,-204.42808219178082
2007,-50.127168949771686
2008,-105.52083333333333
2009,-241.23424657534247
2010,-263.9841324200913
2011,-148.3565475510903
2012,-136.20013661202185
2013,-260.7745433789954
2014,-305.5786529680365
2015,-99.97671232876712
2016,-231.53961748633878
2017,-118.42009132420091
2018,-290.44189497716894
2019,-193.50082236842104
