1971,-370.4084523668988
1972,-426.3509880514706
1973,-298.1340969570751
1974,-324.1093363051015
1975,-278.34430054836076
1976,-427.80666125101544
1977,-396.55801233562204
1978,-410.775799086758
1979,-355.61038812785387
1980,-431.5218579234973
1981,-277.49179564762017
1982,-250.2067410396392
1983,-167.05856164383562
1984,-323.9634443541836
1985,-339.3372146118721
1986,-273.2012557077626
1987,-321.6361872146119
1988,-246.02386702656628
1989,-176.23709167544783
1990,-111.54075342465754
1991,-238.6728310502283
1992,-169.10598816029145
1993,-230.73424657534247
1994,-210.50730593607307
1995,-156.46518264840182
1996,-371.57365664845173
1997,-236.3659817351598
1998,-167.10148401826484
1999,-179.46255707762558
2000,-250.89890710382514
2001,-219.88526087452905
2002,-243.02956621004566
2003,-221.92591324200913
2004,483.26684881602915
2005,-117.24386345473228
2006,-191.14600456621005
2007,-25.748287671232877
2008,-105.24146174863388
2009,-202.3404109589041
2010,-275.11712328767123
2011,-66.72420091324202
2012,-76.07980418943534
2013,-190.79828767123288
2014,-187.72728310502282
2015,27.20947488584475
2016,-144.8719262295082
2017,-17.4689497716895
2018,-148.32203196347032
2019,-124.2757290541583
